"id","text","ratings"
"[BRWN, PARA#14337, SENT#6]","there are beauties from the Balkan states who are similarly endowed , and -- back in the blessed United States -- they were regarded simply as pretty women .","1","3","2"
"[BRWN, PARA#15578, SENT#5]","The sound mockery of sheep is like the salubrious horse laugh '' .","3","1","2"
"[BRWN, PARA#6775, SENT#1]","I knew that a conversation with the author would not settle such questions , because a man is not the same as his writing : in the last analysis , the questions had to be settled by the work itself .","3","1","2"
"[BRWN, PARA#9356, SENT#7]","similarly , as many cells are added as are required .","1","3","2"
"[BRWN, PARA#10769, SENT#1]","The road leading south along the river was shaded with old trees , and in the moonlight the silvery landscape was like a setting for trolls and wood gods rather than the Hudson River Valley of his boyhood memories .","2","3","1"
"[BRWN, PARA#6921, SENT#2]","Here there may be an analogy with cancer : we can detect cancers by their rapidly accelerating growth , determinable only when related to the more normal rate of healthy growth .","1","2","3"
"[BRWN, PARA#7566, SENT#9]","He rose at 4:00 A.M. the year round and was apt to stride through camp crowing like a cock to wake his men .","3","2","1"
"[BRWN, PARA#10082, SENT#4]","The problems of color change by blanching and liquid accumulation within the package are the same as for solid cuts .","1","2","3"
"[BRWN, PARA#9369, SENT#5]","In the first of these sentences if by is the complement of come and Tuesday is an adjunct of time equivalent to on Tuesday , there will be strong stress on by in the spoken language ; ;","1","2","3"
"[BRWN, PARA#12847, SENT#1]","`` Yes , like a father and son '' .","1","3","2"
"[BRWN, PARA#6675, SENT#4]","`` Is the attitude of German youth comparable to that of `` the angry young men ' of England '' ? ?","3","2","1"
"[BRWN, PARA#11272, SENT#5]","All about me there was a hectic interplay of meetings taking place , like abrupt , jerky scenes in old silent movies , joyous greetings and beginnings , huggings and kissings , enthusiastic forays into the festive night .","1","2","3"
"[BRWN, PARA#10425, SENT#3]","The mouth was thin-lipped and wide , the long cleft in the upper lip like a slide .","3","2","1"
"[BRWN, PARA#4513, SENT#3]","Blistered for curbs and laid off three weeks , he is coming along fine and looks like a pacer to me .","1","2","3"
"[BRWN, PARA#9055, SENT#9]","The technique of cutting sections was essentially the same as that described by Coons et al ( 1951 ) .","1","3","2"
"[BRWN, PARA#13736, SENT#2]","There was a wooden tower or derrick there , something like a ski jump ; ;","2","3","1"
"[BRWN, PARA#6769, SENT#1]","Our collective policies , group and national , are similarly based on voodoo , but here we often lack even the empirically successful rituals and are still engaged in determing them .","1","2","3"
"[BRWN, PARA#8979, SENT#5]","The life history of the alkali bee is similar to that of Andrena , but the first activity of the adults does not take place until summer , and the individuals hibernate in the prepupal stage .","1","2","3"
"[BRWN, PARA#3004, SENT#1]","Mr. George Hough ( Oct. 30 ) sounds like a business man who waits until the last minute to leave his home or shop .","1","2","3"
"[BRWN, PARA#4988, SENT#7]","but the phenomena observed had such a degree of analogy to those depending on electrical distribution that one could not find the slightest difference .","1","2","3"
"[BRWN, PARA#5566, SENT#1]","The equally ardent proponent of freedom from any kind of censorship may find the nude human form the `` natural , honest , free expression of man's spirit and the epitome of beauty and inspiration '' .","3","2","1"
"[BRWN, PARA#13768, SENT#3]","Benson grinned and flipped a rock with his thumb like a marble .","2","2","2"
"[BRWN, PARA#10559, SENT#3]","Slowly , like a man grown old , he took Eli's hand and led him below to the tower study , guiding him to a chair beside the little hearth where a fire still burned .","3","2","1"
"[BRWN, PARA#3416, SENT#2]","The primitive-eclogue quality of his drawings , akin to that of graffiti scratched on a cave wall , is equally well known .","3","2","1"
"[BRWN, PARA#14487, SENT#13]","You laughed and then your chest swelled and you felt you could cry for a little bit , and then a feeling hit you like a chill in your stomach and the goose bumps rippled along your arm .","2","1","3"
"[BRWN, PARA#3735, SENT#2]","In their very first speeches it was clear that Shakespeare , like a Nostradamus , had foreseen this moment .","1","3","2"
"[BRWN, PARA#14095, SENT#3]","Hair like a morning-frightened sparrow's wings , with the sun shining down over them .","2","2","2"
"[BRWN, PARA#8047, SENT#7]","The state was confronted with transportation problems similar to those of the individual .","1","3","2"
"[BRWN, PARA#14146, SENT#3]","Real big , with shoulders out to here , and hair all over him like a grizzly .","1","3","2"
"[BRWN, PARA#13277, SENT#1]","If you don't leave this country within 3 days , your life will be taken the same as Powell's was .","1","2","3"
